id, category
0, 0
1, 0
2, 3
3, 3
4, 0
5, 1
6, 0
7, 0
8, 0
9, 0
10, 0
11, 3
12, 3
13, 3
14, 0
15, 0
16, 2
17, 3
18, 3
19, 3
20, 3
21, 0
22, 0
23, 0
24, 1
25, 0
26, 0
27, 3
28, 0
29, 0
30, 1
31, 0
32, 2
33, 0
34, 0
35, 4
36, 4
37, 0
38, 1
39, 0
40, 0
41, 0
42, 4
43, 4
44, 1
45, 4
46, 1
47, 4
48, 1
49, 0
50, 0
51, 4
52, 0
53, 2
54, 0
55, 0
56, 1
57, 1
58, 0
59, 0
60, 1
61, 1
62, 1
63, 0
64, 0
65, 3
66, 4
67, 3
68, 4
69, 0
70, 0
71, 3
72, 2
73, 0
74, 2
75, 0
76, 0
77, 0
78, 0
79, 3
80, 3
81, 2
82, 4
83, 1
84, 0
85, 1
86, 0
87, 2
88, 3
89, 3
90, 0
91, 0
92, 4
93, 1
94, 1
95, 2
96, 4
97, 3
98, 3
99, 3
100, 3
101, 1
102, 1
103, 1
104, 1
105, 3
106, 0
107, 4
108, 1
109, 0
110, 2
111, 3
112, 3
113, 1
114, 3
115, 2
116, 3
117, 4
118, 2
119, 1
120, 0
121, 0
122, 0
123, 4
124, 3
125, 2
126, 2
127, 2
128, 2
129, 1
130, 0
131, 1
132, 0
133, 1
134, 2
135, 0
136, 2
137, 3
138, 0
139, 0
140, 0
141, 3
142, 0
143, 0
144, 2
145, 3
146, 3
147, 3
148, 3
149, 0
150, 0
151, 1
152, 2
153, 0
154, 3
155, 1
156, 1
157, 0
158, 1
159, 4
160, 2
161, 2
162, 0
163, 0
164, 3
165, 3
166, 4
167, 1
168, 1
169, 3
170, 1
171, 3
172, 0
173, 1
174, 2
175, 3
176, 2
177, 0
178, 0
179, 2
180, 0
181, 0
182, 2
183, 1
184, 1
185, 3
186, 0
187, 1
188, 2
189, 3
190, 3
191, 4
192, 2
193, 0
194, 2
195, 3
196, 2
197, 4
198, 0
199, 1
200, 1
201, 0
202, 0
203, 0
204, 4
205, 0
206, 4
207, 0
208, 4
209, 0
210, 1
211, 0
212, 1
213, 1
214, 0
215, 0
216, 4
217, 2
218, 2
219, 0
220, 4
221, 4
222, 1
223, 2
224, 2
225, 3
226, 0
227, 1
228, 4
229, 3
230, 0
231, 1
232, 2
233, 0
234, 3
235, 2
236, 0
237, 0
238, 2
239, 3
240, 3
241, 1
242, 0
243, 0
244, 2
245, 1
246, 1
247, 4
248, 0
249, 0
250, 4
251, 1
252, 0
253, 4
254, 2
255, 0
256, 3
257, 1
258, 0
259, 2
260, 1
261, 4
262, 3
263, 0
264, 3
265, 3
266, 3
267, 0
268, 4
269, 0
270, 3
271, 3
272, 3
273, 0
274, 4
275, 3
276, 0
277, 2
278, 0
279, 2
280, 4
281, 1
282, 0
283, 3
284, 1
285, 3
286, 1
287, 3
288, 0
289, 3
290, 2
291, 3
292, 2
293, 0
294, 3
295, 0
296, 1
297, 1
298, 0
299, 0
300, 4
301, 0
302, 1
303, 2
304, 1
305, 1
306, 4
307, 3
308, 2
309, 1
310, 4
311, 3
312, 2
313, 1
314, 4
315, 4
316, 1
317, 1
318, 0
319, 3
320, 2
321, 0
322, 1
323, 2
324, 4
325, 1
326, 3
327, 3
328, 3
329, 0
330, 2
331, 4
332, 1
333, 3
334, 3
335, 3
336, 2
337, 0
338, 4
339, 4
340, 2
341, 2
342, 3
343, 1
344, 0
345, 4
346, 1
347, 4
348, 4
349, 4
350, 3
351, 3
352, 3
353, 1
354, 4
355, 2
356, 4
357, 3
358, 3
359, 4
360, 3
361, 1
362, 1
363, 3
364, 4
365, 2
366, 1
367, 1
368, 1
369, 2
370, 3
371, 1
372, 0
373, 4
374, 2
375, 1
376, 1
377, 3
378, 1
379, 0
380, 3
381, 2
382, 0
383, 1
384, 0
385, 0
386, 3
387, 3
388, 1
389, 1
390, 1
391, 2
392, 0
393, 2
394, 3
395, 1
396, 1
397, 3
398, 3
399, 2
400, 0
401, 1
402, 0
403, 0
404, 2
405, 1
406, 1
407, 3
408, 1
409, 2
410, 4
411, 2
412, 0
413, 3
414, 0
415, 0
416, 1
417, 2
418, 0
419, 0
420, 2
421, 0
422, 2
423, 3
424, 0
425, 2
